archivo,bytes,filas_datos_csv,procedencia,descripcion,sha256
00_LEEME_ENTREGA.txt,6141,,"Documentacion, ruta o informe actualizado","Guía actual de contenido, consulta, verificación y límites.",2c166b9fd3ce0727bcee7f98c2d9ae80fb220573b2672b190343e31f9308a6a0
LEEME.txt,515,,original conservado,Descripción histórica del paquete original.,4d4123551a4bbd2b902d9c5a19c7ef719cb10f09d3ffcc0911dd2fffb48dd2d8
LEEME_analisis_complementario.txt,1342,,"Documentacion, ruta o informe actualizado",Instrucciones del analisis complementario con rutas normalizadas.,b718eb8b404102efd929d2e1e07609199d6600e7a0411e80bc6a89cb47821f07
analisis_complementario/cobertura_ventanas.csv,197,4,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,c21b632cb375552aad75e4e307d016b2cc88cf8686168cbd463352bb14897c31
analisis_complementario/comparativa_percentiles.csv,771,4,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,6478f3dd4fecc0d642ff9f11ae033b8ca3b289923371f8a796f23b7008987b8c
analisis_complementario/distribucion_por_fecha.csv,502,40,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,8d8db378331a15d66c5c2aedcc261037555d5ada1e78f9df3ed9f05a98899587
analisis_complementario/errores_seccion_III.json,253,,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,086405d8ba4a01f8cf73b7bf4a0a67ab88c70e397c3ea13b10a65df9706e5576
analisis_complementario/manifiesto_analisis_complementario.json,734,,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,643c76816904ef0ad43e00732814861c9902712f6eb8ae70c8db9c462e742533
analisis_complementario/sensibilidad_por_fecha.csv,34987,480,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,798e0510c4a6c0387acfe779c973715997fad2755c75750b35c8484afb6e0314
analisis_complementario/sensibilidad_resumen.csv,940,12,Contenido original conservado; ruta normalizada,Salida original del análisis complementario; consultar mapa del TFM.,f6026c606e6740a81d06fbd47b6483397596cf8b43498c37f1789328c540d799
codigo/analisis_complementario.py,5506,,original conservado,"Cálculos de cobertura, sensibilidad y errores a partir de resultados guardados.",0989186a279f5a7913a6af64da347b200cf508b92da2f45fb7b0cf2e0d898a75
codigo/requirements.txt,259,,original conservado,Rangos de dependencias del programa original.,b1076267e5087e21f07a4a311f95c9ff4e0c90a25c72ad5fd89a58596d0eea46
codigo/tfm_boe_experiment.py,47233,,original conservado,"Código del estudio original: muestreo, tokenización, fragmentación y SVM.",f62a951c792e0d6b3c34e65bd00e9d0b0f057e8c7279eb8115c80445d9c90a5b
codigo/verificar_anexo.py,9194,,"Documentacion, ruta o informe actualizado",Verificador añadido; no descarga ni reentrena.,92d2ea2a2e7e10e1c60b9f654b1bd9f7fb19ebdb5051273ccdfe05ed55ca8e2e
datos/terminos_juridicos_125.csv,5026,125,original conservado,Entrada original del estudio de fragmentación.,34f88365eed5dddabc3811097ed8147dd74c2da3483e2219823a611660d55308
documentacion/CONTENIDO_Y_RELACION_TFM.md,4223,,"Documentacion, ruta o informe actualizado",Documentación de entrega añadida en esta revisión.,82218838641c80291e82d4720fb1181a8e21019e5a288d3012d757aa207eb567
