issue_date,n_documents
20210115,10
20210215,10
20210415,10
20210515,10
20210715,10
20210816,10
20211015,10
20211115,10
20220115,10
20220215,10
20220415,10
20220516,10
20220715,10
20220815,10
20221015,10
20221115,10
20230116,10
20230215,10
20230415,10
20230515,10
20230715,10
20230815,10
20231016,10
20231115,10
20240115,10
20240215,10
20240415,10
20240515,10
20240715,11
20240815,10
20241015,10
20241115,9
20250115,10
20250215,10
20250415,10
20250515,10
20250715,10
20250815,10
20251015,10
20251115,10
