tokenizer,omitted_issue_date,n_omitted,n_remaining,metric,full_sample,omission_value,pct_change
BETO,20210115,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20210115,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20210115,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20210215,10,390,mediana,819.0,819.0,0.0
BETO,20210215,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20210215,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20210415,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20210415,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20210415,10,390,P95,18110.89999999993,17617.499999999978,-2.7243262344773145
BETO,20210515,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20210515,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20210515,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20210715,10,390,mediana,819.0,819.0,0.0
BETO,20210715,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20210715,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20210816,10,390,mediana,819.0,819.0,0.0
BETO,20210816,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20210816,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20211015,10,390,mediana,819.0,845.0,3.1746031746031855
BETO,20211015,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20211015,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20211115,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20211115,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20211115,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20220115,10,390,mediana,819.0,801.5,-2.1367521367521403
BETO,20220115,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20220115,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20220215,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20220215,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20220215,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20220415,10,390,mediana,819.0,819.0,0.0
BETO,20220415,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20220415,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20220516,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20220516,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20220516,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20220715,10,390,mediana,819.0,807.5,-1.4041514041513992
