tokenizer,metric,full_sample,minimum,maximum,maximum_abs_pct_change
BETO,mediana,819.0,794.0,845.0,3.1746031746031855
BETO,P90,9800.400000000009,8245.700000000028,10223.50000000001,15.863638218847997
BETO,P95,18110.89999999993,17617.499999999978,18889.89999999993,4.301277131451253
RoBERTalex,mediana,759.5,735.0,773.0,3.2258064516129004
RoBERTalex,P90,8905.900000000005,7408.700000000015,9173.600000000008,16.811327322336755
RoBERTalex,P95,16621.85,15695.849999999991,16650.35,5.57098036620477
MEL,mediana,882.0,869.0,912.0,3.401360544217691
MEL,P90,10228.800000000001,8438.600000000035,10320.60000000001,17.501564210855292
MEL,P95,19808.699999999997,19575.85,19835.699999999997,1.1754935962481006
MrBERT-legal,mediana,899.0,883.0,920.5,2.391546162402669
MrBERT-legal,P90,11013.800000000001,9036.600000000039,11059.000000000007,17.952023824655996
MrBERT-legal,P95,19358.94999999991,18577.14999999999,20348.44999999991,5.111330934787284
