year,issue_date,section_code,section_name,n
2021,20210115,1,I. Disposiciones generales,3
2021,20210115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2021,20210115,3,III. Otras disposiciones,2
2021,20210215,1,I. Disposiciones generales,3
2021,20210215,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210215,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2021,20210215,3,III. Otras disposiciones,2
2021,20210415,1,I. Disposiciones generales,3
2021,20210415,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210415,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2021,20210415,3,III. Otras disposiciones,2
2021,20210515,1,I. Disposiciones generales,3
2021,20210515,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210515,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2021,20210515,3,III. Otras disposiciones,2
2021,20210715,1,I. Disposiciones generales,1
2021,20210715,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210715,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2021,20210715,3,III. Otras disposiciones,3
2021,20210816,1,I. Disposiciones generales,1
2021,20210816,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20210816,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2021,20210816,3,III. Otras disposiciones,3
2021,20211015,1,I. Disposiciones generales,3
2021,20211015,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20211015,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2021,20211015,3,III. Otras disposiciones,2
2021,20211115,1,I. Disposiciones generales,2
2021,20211115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2021,20211115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2021,20211115,3,III. Otras disposiciones,2
2022,20220115,1,I. Disposiciones generales,3
2022,20220115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",1
2022,20220115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2022,20220115,3,III. Otras disposiciones,3
2022,20220215,1,I. Disposiciones generales,3
2022,20220215,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20220215,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2022,20220215,3,III. Otras disposiciones,2
2022,20220415,1,I. Disposiciones generales,2
2022,20220415,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20220415,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2022,20220415,3,III. Otras disposiciones,2
2022,20220516,1,I. Disposiciones generales,3
2022,20220516,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20220516,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2022,20220516,3,III. Otras disposiciones,2
2022,20220715,1,I. Disposiciones generales,1
2022,20220715,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20220715,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2022,20220715,3,III. Otras disposiciones,3
2022,20220815,1,I. Disposiciones generales,2
2022,20220815,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",2
2022,20220815,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2022,20220815,3,III. Otras disposiciones,2
2022,20220815,T,T.C. Sección del Tribunal Constitucional,2
2022,20221015,1,I. Disposiciones generales,2
2022,20221015,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20221015,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2022,20221015,3,III. Otras disposiciones,2
2022,20221115,1,I. Disposiciones generales,2
2022,20221115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2022,20221115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2022,20221115,3,III. Otras disposiciones,2
2023,20230116,1,I. Disposiciones generales,3
2023,20230116,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20230116,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2023,20230116,3,III. Otras disposiciones,2
2023,20230215,1,I. Disposiciones generales,3
2023,20230215,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20230215,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2023,20230215,3,III. Otras disposiciones,2
2023,20230415,1,I. Disposiciones generales,3
2023,20230415,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20230415,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2023,20230415,3,III. Otras disposiciones,2
2023,20230515,1,I. Disposiciones generales,2
2023,20230515,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20230515,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2023,20230515,3,III. Otras disposiciones,2
2023,20230715,1,I. Disposiciones generales,3
2023,20230715,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20230715,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2023,20230715,3,III. Otras disposiciones,2
2023,20230815,1,I. Disposiciones generales,3
2023,20230815,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",2
2023,20230815,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2023,20230815,3,III. Otras disposiciones,2
2023,20231016,1,I. Disposiciones generales,1
2023,20231016,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20231016,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2023,20231016,3,III. Otras disposiciones,3
2023,20231115,1,I. Disposiciones generales,3
2023,20231115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2023,20231115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2023,20231115,3,III. Otras disposiciones,2
2024,20240115,1,I. Disposiciones generales,2
2024,20240115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20240115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2024,20240115,3,III. Otras disposiciones,2
2024,20240215,1,I. Disposiciones generales,3
2024,20240215,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20240215,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2024,20240215,3,III. Otras disposiciones,2
2024,20240415,1,I. Disposiciones generales,3
2024,20240415,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20240415,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2024,20240415,3,III. Otras disposiciones,2
2024,20240515,1,I. Disposiciones generales,2
2024,20240515,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",2
2024,20240515,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2024,20240515,3,III. Otras disposiciones,2
2024,20240515,T,T.C. Sección del Tribunal Constitucional,2
2024,20240715,1,I. Disposiciones generales,3
2024,20240715,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20240715,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2024,20240715,3,III. Otras disposiciones,3
2024,20240815,1,I. Disposiciones generales,3
2024,20240815,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",1
2024,20240815,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2024,20240815,3,III. Otras disposiciones,3
2024,20241015,1,I. Disposiciones generales,2
2024,20241015,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20241015,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2024,20241015,3,III. Otras disposiciones,2
2024,20241115,1,I. Disposiciones generales,2
2024,20241115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2024,20241115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2024,20241115,3,III. Otras disposiciones,2
2025,20250115,1,I. Disposiciones generales,3
2025,20250115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20250115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20250115,3,III. Otras disposiciones,2
2025,20250215,1,I. Disposiciones generales,3
2025,20250215,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20250215,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20250215,3,III. Otras disposiciones,2
2025,20250415,1,I. Disposiciones generales,3
2025,20250415,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20250415,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20250415,3,III. Otras disposiciones,2
2025,20250515,1,I. Disposiciones generales,2
2025,20250515,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",2
2025,20250515,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20250515,3,III. Otras disposiciones,2
2025,20250515,T,T.C. Sección del Tribunal Constitucional,2
2025,20250715,1,I. Disposiciones generales,3
2025,20250715,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20250715,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20250715,3,III. Otras disposiciones,2
2025,20250815,1,I. Disposiciones generales,3
2025,20250815,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",2
2025,20250815,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2025,20250815,3,III. Otras disposiciones,2
2025,20251015,1,I. Disposiciones generales,2
2025,20251015,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20251015,2B,II. Autoridades y personal. - B. Oposiciones y concursos,3
2025,20251015,3,III. Otras disposiciones,2
2025,20251115,1,I. Disposiciones generales,3
2025,20251115,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",3
2025,20251115,2B,II. Autoridades y personal. - B. Oposiciones y concursos,2
2025,20251115,3,III. Otras disposiciones,2
