tokenizer,categoria,n_terms,mean_subtokens_per_word,median_subtokens_per_word,pct_fragmented
BETO,latinismo,30,1.656,1.500,83.333
BETO,colocacion_juridica,35,1.171,1.000,37.143
BETO,formula_ritual,35,1.080,1.000,22.857
BETO,termino_tecnico_o_arcaismo,25,1.520,1.000,48.000
RoBERTalex,latinismo,30,1.503,1.500,66.667
RoBERTalex,colocacion_juridica,35,1.010,1.000,2.857
RoBERTalex,formula_ritual,35,1.018,1.000,8.571
RoBERTalex,termino_tecnico_o_arcaismo,25,1.200,1.000,8.000
MEL,latinismo,30,1.416,1.500,66.667
MEL,colocacion_juridica,35,1.505,1.333,80.000
MEL,formula_ritual,35,1.292,1.167,62.857
MEL,termino_tecnico_o_arcaismo,25,1.953,1.500,76.000
MrBERT-legal,latinismo,30,1.419,1.500,66.667
MrBERT-legal,colocacion_juridica,35,1.293,1.250,51.429
MrBERT-legal,formula_ritual,35,1.159,1.000,40.000
MrBERT-legal,termino_tecnico_o_arcaismo,25,1.640,1.500,64.000
