categoria,termino,orthographic_words,subtokens_BETO,pieces_BETO,subtokens_RoBERTalex,pieces_RoBERTalex,subtokens_MEL,pieces_MEL,subtokens_MrBERT-legal,pieces_MrBERT-legal
latinismo,ad hoc,2,2,ad | hoc,2,Ġad | Ġhoc,2,▁ad | ▁hoc,2,▁ad | ▁hoc
latinismo,ad cautelam,2,3,ad | caute | ##lam,4,Ġad | Ġcau | te | lam,3,▁ad | ▁cautela | m,3,▁ad | ▁cautel | am
latinismo,ad personam,2,3,ad | persona | ##m,2,Ġad | Ġpersonam,3,▁ad | ▁persona | m,3,▁ad | ▁person | am
latinismo,a fortiori,2,4,a | fort | ##ior | ##i,4,Ġa | Ġfor | ti | ori,4,▁a | ▁for | ti | ori,3,▁a | ▁forti | ori
latinismo,a priori,2,3,a | prior | ##i,2,Ġa | Ġpriori,2,▁a | ▁priori,2,▁a | ▁priori
latinismo,a posteriori,2,3,a | posterior | ##i,2,Ġa | Ġposteriori,3,▁a | ▁posterior | i,2,▁a | ▁posteriori
latinismo,ex ante,2,2,ex | ante,2,Ġex | Ġante,2,▁ex | ▁ante,2,▁ex | ▁ante
latinismo,ex post,2,2,ex | post,2,Ġex | Ġpost,2,▁ex | ▁post,2,▁ex | ▁post
latinismo,ex officio,2,3,ex | off | ##icio,3,Ġex | Ġof | ficio,2,▁ex | ▁officio,3,▁ex | ▁off | icio
latinismo,in dubio pro reo,4,6,in | du | ##bio | pro | re | ##o,4,Ġin | Ġdubio | Ġpro | Ġreo,6,▁in | ▁du | bio | ▁pro | ▁re | o,5,▁in | ▁dub | io | ▁pro | ▁reo
latinismo,iura novit curia,3,6,i | ##ura | novi | ##t | curi | ##a,6,Ġi | ura | Ġnov | it | Ġcur | ia,6,▁i | ura | ▁novi | t | ▁cu | ria,6,▁i | ura | ▁nov | it | ▁cu | ria
latinismo,lex specialis derogat legi generali,5,10,le | ##x | spe | ##cial | ##is | deroga | ##t | legi | general | ##i,8,Ġlex | Ġspecial | is | Ġderoga | t | Ġlegi | Ġgeneral | i,9,▁lex | ▁speciali | s | ▁de | roga | t | ▁legi | ▁general | i,7,▁lex | ▁special | is | ▁der | ogat | ▁legi | ▁generali
latinismo,lex posterior derogat priori,4,7,le | ##x | posterior | deroga | ##t | prior | ##i,5,Ġlex | Ġposterior | Ġderoga | t | Ġpriori,6,▁lex | ▁posterior | ▁de | roga | t | ▁priori,5,▁lex | ▁posterior | ▁der | ogat | ▁priori
latinismo,mutatis mutandis,2,6,mu | ##tat | ##is | mu | ##tan | ##dis,2,Ġmutatis | Ġmutandis,4,▁mutat | is | ▁mu | tandis,2,▁mutatis | ▁mutandis
latinismo,non bis in idem,4,5,non | bis | in | ide | ##m,5,Ġnon | Ġbis | Ġin | Ġide | m,4,▁non | ▁bis | ▁in | ▁idem,4,▁non | ▁bis | ▁in | ▁idem
latinismo,per se,2,2,per | se,2,Ġper | Ġse,2,▁per | ▁se,2,▁per | ▁se
latinismo,prima facie,2,3,prima | faci | ##e,3,Ġprima | Ġfa | cie,3,▁prima | ▁faci | e,3,▁prima | ▁f | acie
latinismo,ratio decidendi,2,3,ratio | deciden | ##di,3,Ġratio | Ġdeciden | di,3,▁ratio | ▁decide | ndi,3,▁ratio | ▁decid | endi
latinismo,obiter dictum,2,5,ob | ##ite | ##r | dic | ##tum,5,Ġo | bi | ter | Ġdic | tum,3,▁ob | iter | ▁dictum,4,▁ob | iter | ▁dict | um
latinismo,sui generis,2,4,su | ##i | gener | ##is,4,Ġsu | i | Ġgener | is,2,▁sui | ▁generis,3,▁sui | ▁gener | is
latinismo,ultra vires,2,3,ultra | vir | ##es,3,Ġultra | Ġvi | res,3,▁ultra | ▁vir | es,3,▁ultra | ▁vir | es
latinismo,inter partes,2,2,inter | partes,2,Ġinter | Ġpartes,2,▁inter | ▁partes,2,▁inter | ▁partes
