identifier,issue_date,year,section_code,section_name,department_name,char_count,word_count,tokens_BETO,tokens_RoBERTalex,tokens_MEL,tokens_MrBERT-legal
BOE-A-2021-588,20210115,2021,1,I. Disposiciones generales,MINISTERIO DE HACIENDA,87830,13204,17186,15353,19579,18449
BOE-A-2021-591,20210115,2021,1,I. Disposiciones generales,MINISTERIO DE HACIENDA,90436,13734,17045,15582,19860,18349
BOE-A-2021-592,20210115,2021,1,I. Disposiciones generales,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",5302,822,1065,1000,1214,1212
BOE-A-2021-593,20210115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,895,143,210,192,221,244
BOE-A-2021-602,20210115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1789,269,379,356,411,432
BOE-A-2021-604,20210115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,2099,324,426,398,479,470
BOE-A-2021-640,20210115,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,818,126,175,167,194,200
BOE-A-2021-656,20210115,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,UNIVERSIDADES,17802,2736,3703,3459,4020,4054
BOE-A-2021-664,20210115,2021,3,III. Otras disposiciones,MINISTERIO DE CIENCIA E INNOVACIÓN,35711,5372,7500,6844,7950,7680
BOE-A-2021-668,20210115,2021,3,III. Otras disposiciones,COMUNIDAD AUTÓNOMA DE CATALUÑA,6391,846,1567,1440,1573,1595
BOE-A-2021-2167,20210215,2021,1,I. Disposiciones generales,MINISTERIO DE CULTURA Y DEPORTE,11509,1788,2290,2167,2453,2561
BOE-A-2021-2169,20210215,2021,1,I. Disposiciones generales,COMUNIDAD AUTÓNOMA DE CATALUÑA,7177,999,1676,1617,1782,2117
BOE-A-2021-2170,20210215,2021,1,I. Disposiciones generales,COMUNIDAD AUTÓNOMA DEL PRINCIPADO DE ASTURIAS,1315,207,293,275,323,347
BOE-A-2021-2180,20210215,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE POLÍTICA TERRITORIAL Y FUNCIÓN PÚBLICA,9472,1351,4132,2952,3578,3825
BOE-A-2021-2184,20210215,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1709,260,364,332,399,401
BOE-A-2021-2185,20210215,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,788,116,169,155,190,187
BOE-A-2021-2266,20210215,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,797,122,167,156,183,182
